"No.","Time","Source","Destination","Protocol","Length","Info"
"266","4.986896","host","1.5.1","USB","27","URB_INTERRUPT in"
"267","5.090932","1.5.1","host","USB","35","URB_INTERRUPT in"
"268","5.090973","host","1.5.1","USB","27","URB_INTERRUPT in"
"269","5.114930","1.5.1","host","USB","35","URB_INTERRUPT in"
"270","5.114968","host","1.5.1","USB","27","URB_INTERRUPT in"
"271","5.226831","1.5.1","host","USB","35","URB_INTERRUPT in"
"272","5.226872","host","1.5.1","USB","27","URB_INTERRUPT in"
"273","5.426934","1.5.1","host","USB","35","URB_INTERRUPT in"
"274","5.426974","host","1.5.1","USB","27","URB_INTERRUPT in"
"275","5.570930","1.5.1","host","USB","35","URB_INTERRUPT in"
"276","5.570969","host","1.5.1","USB","27","URB_INTERRUPT in"
"277","5.610934","1.5.1","host","USB","35","URB_INTERRUPT in"
"278","5.610971","host","1.5.1","USB","27","URB_INTERRUPT in"
"279","5.730832","1.5.1","host","USB","35","URB_INTERRUPT in"
"280","5.730874","host","1.5.1","USB","27","URB_INTERRUPT in"
"281","5.802861","1.5.1","host","USB","35","URB_INTERRUPT in"
"282","5.802901","host","1.5.1","USB","27","URB_INTERRUPT in"
"283","6.010909","1.5.1","host","USB","35","URB_INTERRUPT in"
"284","6.010982","host","1.5.1","USB","27","URB_INTERRUPT in"
"285","6.034934","1.5.1","host","USB","35","URB_INTERRUPT in"
"286","6.034974","host","1.5.1","USB","27","URB_INTERRUPT in"
"287","6.186934","1.5.1","host","USB","35","URB_INTERRUPT in"
"288","6.186974","host","1.5.1","USB","27","URB_INTERRUPT in"
"289","6.434931","1.5.1","host","USB","35","URB_INTERRUPT in"
"290","6.434974","host","1.5.1","USB","27","URB_INTERRUPT in"
"291","6.554832","1.5.1","host","USB","35","URB_INTERRUPT in"
"292","6.554877","host","1.5.1","USB","27","URB_INTERRUPT in"
"293","7.130735","1.4.1","host","USB","31","URB_INTERRUPT in"
"294","7.130774","host","1.4.1","USB","27","URB_INTERRUPT in"
"295","7.138734","1.4.1","host","USB","31","URB_INTERRUPT in"
"296","7.138760","host","1.4.1","USB","27","URB_INTERRUPT in"
"297","7.146708","1.4.1","host","USB","31","URB_INTERRUPT in"
"298","7.146769","host","1.4.1","USB","27","URB_INTERRUPT in"
"299","7.154743","1.4.1","host","USB","31","URB_INTERRUPT in"
"300","7.154782","host","1.4.1","USB","27","URB_INTERRUPT in"
"301","7.162739","1.4.1","host","USB","31","URB_INTERRUPT in"
"302","7.162778","host","1.4.1","USB","27","URB_INTERRUPT in"
"303","7.170718","1.4.1","host","USB","31","URB_INTERRUPT in"
"304","7.170778","host","1.4.1","USB","27","URB_INTERRUPT in"
"305","7.178737","1.4.1","host","USB","31","URB_INTERRUPT in"
"306","7.178779","host","1.4.1","USB","27","URB_INTERRUPT in"
"307","7.186737","1.4.1","host","USB","31","URB_INTERRUPT in"
"308","7.186773","host","1.4.1","USB","27","URB_INTERRUPT in"
"309","7.194738","1.4.1","host","USB","31","URB_INTERRUPT in"
"310","7.194786","host","1.4.1","USB","27","URB_INTERRUPT in"
"311","7.202710","1.4.1","host","USB","31","URB_INTERRUPT in"
"312","7.202749","host","1.4.1","USB","27","URB_INTERRUPT in"
"313","7.210736","1.4.1","host","USB","31","URB_INTERRUPT in"
"314","7.210775","host","1.4.1","USB","27","URB_INTERRUPT in"
"315","7.218735","1.4.1","host","USB","31","URB_INTERRUPT in"
"316","7.218770","host","1.4.1","USB","27","URB_INTERRUPT in"
"317","7.226736","1.4.1","host","USB","31","URB_INTERRUPT in"
"318","7.226777","host","1.4.1","USB","27","URB_INTERRUPT in"
"319","7.234713","1.4.1","host","USB","31","URB_INTERRUPT in"
"320","7.234759","host","1.4.1","USB","27","URB_INTERRUPT in"
"321","7.274720","1.4.1","host","USB","31","URB_INTERRUPT in"
"322","7.274774","host","1.4.1","USB","27","URB_INTERRUPT in"
"323","7.282737","1.4.1","host","USB","31","URB_INTERRUPT in"
"324","7.282764","host","1.4.1","USB","27","URB_INTERRUPT in"
"325","7.290737","1.4.1","host","USB","31","URB_INTERRUPT in"
"326","7.290777","host","1.4.1","USB","27","URB_INTERRUPT in"
"327","7.298736","1.4.1","host","USB","31","URB_INTERRUPT in"
"328","7.298810","host","1.4.1","USB","27","URB_INTERRUPT in"
"329","7.306738","1.4.1","host","USB","31","URB_INTERRUPT in"
"330","7.306779","host","1.4.1","USB","27","URB_INTERRUPT in"
"331","7.314721","1.4.1","host","USB","31","URB_INTERRUPT in"
"332","7.314814","host","1.4.1","USB","27","URB_INTERRUPT in"
"333","7.322710","1.4.1","host","USB","31","URB_INTERRUPT in"
"334","7.322751","host","1.4.1","USB","27","URB_INTERRUPT in"
"335","7.330717","1.4.1","host","USB","31","URB_INTERRUPT in"
"336","7.330782","host","1.4.1","USB","27","URB_INTERRUPT in"
"337","7.338711","1.4.1","host","USB","31","URB_INTERRUPT in"
"338","7.338764","host","1.4.1","USB","27","URB_INTERRUPT in"
"339","7.346713","1.4.1","host","USB","31","URB_INTERRUPT in"
"340","7.346759","host","1.4.1","USB","27","URB_INTERRUPT in"
"341","7.354706","1.4.1","host","USB","31","URB_INTERRUPT in"
"342","7.354748","host","1.4.1","USB","27","URB_INTERRUPT in"
"343","7.362710","1.4.1","host","USB","31","URB_INTERRUPT in"
"344","7.362748","host","1.4.1","USB","27","URB_INTERRUPT in"
"345","7.370709","1.4.1","host","USB","31","URB_INTERRUPT in"
"346","7.370756","host","1.4.1","USB","27","URB_INTERRUPT in"
"347","7.378713","1.4.1","host","USB","31","URB_INTERRUPT in"
"348","7.378770","host","1.4.1","USB","27","URB_INTERRUPT in"
"349","7.386738","1.4.1","host","USB","31","URB_INTERRUPT in"
"350","7.386777","host","1.4.1","USB","27","URB_INTERRUPT in"
"351","7.394804","1.4.1","host","USB","31","URB_INTERRUPT in"
"352","7.394980","host","1.4.1","USB","27","URB_INTERRUPT in"
"353","7.402742","1.4.1","host","USB","31","URB_INTERRUPT in"
"354","7.402782","host","1.4.1","USB","27","URB_INTERRUPT in"
"355","7.410738","1.4.1","host","USB","31","URB_INTERRUPT in"
"356","7.410778","host","1.4.1","USB","27","URB_INTERRUPT in"
"357","7.418741","1.4.1","host","USB","31","URB_INTERRUPT in"
"358","7.418783","host","1.4.1","USB","27","URB_INTERRUPT in"
"359","7.426711","1.4.1","host","USB","31","URB_INTERRUPT in"
"360","7.426755","host","1.4.1","USB","27","URB_INTERRUPT in"
"361","7.434739","1.4.1","host","USB","31","URB_INTERRUPT in"
"362","7.434775","host","1.4.1","USB","27","URB_INTERRUPT in"
"363","7.442708","1.4.1","host","USB","31","URB_INTERRUPT in"
"364","7.442745","host","1.4.1","USB","27","URB_INTERRUPT in"
"365","7.450711","1.4.1","host","USB","31","URB_INTERRUPT in"
"366","7.450748","host","1.4.1","USB","27","URB_INTERRUPT in"
"367","7.458739","1.4.1","host","USB","31","URB_INTERRUPT in"
"368","7.458777","host","1.4.1","USB","27","URB_INTERRUPT in"
"369","7.466710","1.4.1","host","USB","31","URB_INTERRUPT in"
"370","7.466733","host","1.4.1","USB","27","URB_INTERRUPT in"
"371","7.474740","1.4.1","host","USB","31","URB_INTERRUPT in"
"372","7.474778","host","1.4.1","USB","27","URB_INTERRUPT in"
"373","7.482752","1.4.1","host","USB","31","URB_INTERRUPT in"
"374","7.482828","host","1.4.1","USB","27","URB_INTERRUPT in"
"375","7.490740","1.4.1","host","USB","31","URB_INTERRUPT in"
"376","7.490779","host","1.4.1","USB","27","URB_INTERRUPT in"
"377","7.498738","1.4.1","host","USB","31","URB_INTERRUPT in"
"378","7.498777","host","1.4.1","USB","27","URB_INTERRUPT in"
"379","7.506744","1.4.1","host","USB","31","URB_INTERRUPT in"
"380","7.506785","host","1.4.1","USB","27","URB_INTERRUPT in"
"381","7.514711","1.4.1","host","USB","31","URB_INTERRUPT in"
"382","7.514752","host","1.4.1","USB","27","URB_INTERRUPT in"
"383","7.522712","1.4.1","host","USB","31","URB_INTERRUPT in"
"384","7.522752","host","1.4.1","USB","27","URB_INTERRUPT in"
"385","7.530711","1.4.1","host","USB","31","URB_INTERRUPT in"
"386","7.530762","host","1.4.1","USB","27","URB_INTERRUPT in"
"387","7.538710","1.4.1","host","USB","31","URB_INTERRUPT in"
"388","7.538749","host","1.4.1","USB","27","URB_INTERRUPT in"
"389","7.546709","1.4.1","host","USB","31","URB_INTERRUPT in"
"390","7.546745","host","1.4.1","USB","27","URB_INTERRUPT in"
"391","7.554725","1.4.1","host","USB","31","URB_INTERRUPT in"
"392","7.554791","host","1.4.1","USB","27","URB_INTERRUPT in"
"393","7.570718","1.4.1","host","USB","31","URB_INTERRUPT in"
"394","7.570799","host","1.4.1","USB","27","URB_INTERRUPT in"
"395","7.738739","1.4.1","host","USB","31","URB_INTERRUPT in"
"396","7.738778","host","1.4.1","USB","27","URB_INTERRUPT in"
"397","7.746766","1.4.1","host","USB","31","URB_INTERRUPT in"
"398","7.746795","host","1.4.1","USB","27","URB_INTERRUPT in"
"399","7.762734","1.4.1","host","USB","31","URB_INTERRUPT in"
